trackId,trackName,artistName,albumName,popularity,genres,broad_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0lx1a71BavN2VBKKHeZXpS,Gold - Fells Remix,Said The Sky,Sentiment (The Remixes),31,"melodic dubstep, pop edm",EDM,0.444,0.737,0,-4.432,0,0.052,0.0443,0.000103,0.104,0.256,159.984,210379,4
0MhLe8surFY73mw184u2N4,Monsters,Midnight Kids,Monsters,25,pop edm,EDM,0.541,0.674,0,-5.098,1,0.0459,0.29,0,0.0731,0.595,99.934,237930,4
0mlf3yOGzVnIVxjybDQL3h,Make It Bun Dem,Skrillex,Make It Bun Dem After Hours EP,65,"brostep, complextro, edm, electro, pop dance",EDM,0.556,0.881,7,-2.224,1,0.082,0.00119,0,0.0709,0.337,104.973,213697,1
0n3G0FcRQRGMAqy0w01Ts3,Those Were The Days (feat. Jared Lee),Midnight Kids,Those Were The Days (feat. Jared Lee),41,pop edm,EDM,0.51,0.64,1,-5.736,0,0.0382,0.137,0,0.137,0.195,120.027,200249,4
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,TRUE,89,"dance pop, edm, pop, pop dance",EDM,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4
0nrWZWkJM62ftQJSI8fDc0,Diamond Heart,Alan Walker,Different World,63,electro house,EDM,0.478,0.633,0,-6.19,1,0.0345,0.123,0,0.41,0.287,89.909,240333,4
0oixvwgoGm4wV8go7pK2zJ,Gravity,The Him,Gravity,40,"big room, deep tropical house, pop dance, pop edm",EDM,0.586,0.868,0,-3.833,0,0.117,0.296,9.52E-06,0.119,0.792,123.839,150000,4
0OlnLZY4cmQzT6ZGttvWBM,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),68,"dutch edm, edm, pop, pop dance, progressive house",EDM,0.526,0.52,6,-7.985,0,0.0569,0.435,0,0.197,0.13,149.119,183637,4
0PjDVyVAkT8vfWD0pVmpPx,Hard To Say Goodbye (feat. Chloe Angelides),Ekali,A World Away,44,"brostep, canadian electronic, edm, electro house, electronic trap, future bass, vapor twitch",EDM,0.546,0.764,5,-4.641,1,0.053,0.0803,8.84E-06,0.0971,0.355,152.994,197100,4
0poEFjyV2iHKtxjdWFwjmS,All Night (feat. Ally Brooke),AFROJACK,All Night (feat. Ally Brooke),46,"big room, dance pop, dutch house, edm, electro house, pop dance",EDM,0.593,0.877,0,-3.825,0,0.0677,0.123,0,0.503,0.635,123.76,166413,4
0pWHRz5OB9SpW2A0PZJbq8,Run - Robin Aristo Remix,Futuristic Polar Bears,Run,11,"big room, progressive electro house, sky room",EDM,0.493,0.82,0,-4.782,1,0.0443,0.0224,0,0.259,0.275,128.03,191270,4
0qH4xYxCrvqO86YyLbkTrB,Fragments,ILLENIUM,Fallen Embers,51,"edm, melodic dubstep, pop dance",EDM,0.408,0.783,2,-5.081,1,0.0589,0.101,3.45E-06,0.181,0.344,175.956,210000,4
0qoPwaD8mJz5tlfPF0hO2t,blue - Jai Wolf Remix,keshi,trilogy remixes,46,chill r&b,EDM,0.465,0.447,0,-8.116,1,0.0266,0.0907,8.39E-06,0.198,0.18,90.082,202667,4
0qwa6Mm9oZWLhGitD2Jfnq,Digital Love (feat. Hailee Steinfeld),Digital Farm Animals,Digital Love (feat. Hailee Steinfeld),42,uk dance,EDM,0.701,0.786,0,-4.429,1,0.0512,0.00606,0,0.0835,0.514,100.932,179507,4
0qwPUvS4Eofc19Uw2IDodG,Harmony,Nicky Romero,Harmony,31,"big room, dutch edm, dutch house, edm, electro house, pop dance, progressive electro house",EDM,0.548,0.936,3,-3.795,0,0.067,0.0161,0.000468,0.429,0.387,128.043,213750,4
0rohJsT6NWsThpukt0Xxdc,Higher Ground (feat. John Martin),Martin Garrix,Higher Ground (feat. John Martin),57,"dutch edm, edm, pop, pop dance, progressive house",EDM,0.442,0.619,1,-5.28,1,0.0321,0.0841,0,0.0889,0.382,128.318,206279,4
0sdLzD6YytK2DXiChFXRyz,Out of My Mind (with ZOHARA),Gryffin,Gravity,46,"edm, pop dance",EDM,0.596,0.744,6,-4.377,0,0.0308,0.107,0.000106,0.0665,0.373,139.877,180130,4
0tCXnyfs5y0uh9AKnqnP2v,Remember,Third Party,TOGETHER,42,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house",EDM,0.47,0.905,7,-2.832,0,0.0641,0.0124,1.98E-06,0.509,0.054,127.063,228661,4
0tDC3KJPPu5eonGTtCURpq,Headlights (feat. Ilsey),Robin Schulz,Sugar,65,"deep euro house, deep house, edm, german dance, pop dance, tropical house",EDM,0.597,0.685,11,-6.371,1,0.0367,0.0245,0.000335,0.182,0.369,122.002,209208,4
0tgbSxoFjZ20MjfoKwWevV,Your Love,David Guetta,Your Love,57,"big room, dance pop, edm, pop, pop dance",EDM,0.571,0.937,2,-2.682,0,0.0336,0.0997,0.496,0.125,0.512,125.027,185620,4
0tVv9FxhUjHrhF1DLsDUNH,Fuji Opener,Skrillex,Show Tracks,48,"brostep, complextro, edm, electro, pop dance",EDM,0.662,0.941,1,-1.641,1,0.0626,0.000375,0.029,0.292,0.579,149.982,167200,4
0uhBfy5rlLbuhDxrZfLZwP,Ain't That Why,R3HAB,The Wave,37,"dutch house, edm, electro house, pop dance, progressive electro house, slap house",EDM,0.596,0.61,6,-5.106,0,0.0492,0.391,0,0.168,0.336,139.761,159054,4
0vGy4cesh6K8beoRGZ4Z3i,Paradise - Radio Edit,Benny Benassi,Paradise,4,"dutch house, edm, electro house, pop dance",EDM,0.592,0.865,11,-5.426,1,0.0493,0.00923,0,0.12,0.511,127.878,233169,4
0VqCGp1yoLO5511esxNdlI,Only You - Midnight Kids Remix,Parson James,Only You,28,pop soul,EDM,0.581,0.629,4,-5.81,1,0.0366,0.319,0,0.0563,0.396,97.955,220408,4
0vrmHPfoBadXVr2n0m1aqZ,Heaven,Avicii,TIM,68,"dance pop, edm, pop, pop dance",EDM,0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262,4
0WUVe3Nkd1BMuGecBkGGLr,Phantoms,Man Cub,Phantoms,30,"melodic dubstep, pop edm",EDM,0.293,0.641,4,-4.632,0,0.0347,0.0247,1.54E-06,0.0785,0.126,149.818,199988,4
0wUxh6XMc698xPCfgBaPRV,Dreamer,Martin Garrix,Dreamer,49,"dutch edm, edm, pop, pop dance, progressive house",EDM,0.532,0.639,5,-7.419,0,0.0388,0.0507,0.00131,0.106,0.198,105,193399,4
0WWqHiJQfQ31dx3G1hdrNY,Hard Pass,Tritonal,U & Me,0,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance",EDM,0.578,0.696,0,-4.302,0,0.0317,0.382,0,0.212,0.519,104.991,236139,4
0XdmzOmGiPoNEfNK4BslVo,Lights Out,Blanke,Lights Out,33,"dubstep, melodic dubstep, pop edm",EDM,0.553,0.756,1,-2.567,1,0.0486,0.117,0,0.362,0.118,130.044,233926,4
0Y2QWrhPh6ATyaWYT0QLIR,WIEE (feat. Mesto),Martin Garrix,Seven,44,"dutch edm, edm, pop, pop dance, progressive house",EDM,0.52,0.835,1,-7.775,1,0.0544,0.278,0.863,0.0711,0.373,127.955,203452,4
0YBEseluYfhM4CsiSKKiyP,All This Love (feat. Harlœ),Robin Schulz,IIII,46,"deep euro house, deep house, edm, german dance, pop dance, tropical house",EDM,0.482,0.782,5,-5.904,1,0.0708,0.06,0,0.377,0.447,123.779,164797,4
0yPWj2trBQazAUasaLmqbU,Calling You Home (feat. RUNN),Seven Lions,Calling You Home (feat. RUNN),39,"brostep, complextro, dubstep, edm, electro house, melodic dubstep, pop dance, progressive trance",EDM,0.381,0.861,5,-4.407,0,0.0639,0.0636,0,0.0849,0.296,150.006,284542,4
0ZDDzzxry7vf3rrg2xYOo6,On My Own,3LAU,Ultraviolet,0,"edm, electro house, mashup, pop dance, progressive electro house, progressive house",EDM,0.409,0.855,4,-4.82,0,0.0385,0.00975,1.20E-05,0.19,0.078,173.981,228362,3
0zDftqIhxEhl9AfGiCvgGh,Ghost Of My Past,Vicetone,Legacy,34,"edm, electro house, pop dance, progressive electro house",EDM,0.478,0.843,8,-4.507,0,0.0271,0.105,0.135,0.154,0.375,96.69,216784,4
0ZPfoFzZ4qmdyzYmG8whmn,Greenlights,Krewella,zer0,51,"edm, electra, electro house, pop dance",EDM,0.548,0.835,1,-5.094,1,0.0394,0.00874,0.000653,0.238,0.385,160.022,162443,4
102rhgJ5PEFt62e0PumSF2,Shadow,Syn Cole,Shadow,61,"deep tropical house, edm, pop dance, pop edm, progressive electro house, tropical house",EDM,0.786,0.718,0,-6.292,0,0.04,0.00519,0.000977,0.127,0.525,123.951,166573,4
10By2TP6K0dK86179i54SF,Drought (feat. Nevve),Dropgun,Drought (feat. Nevve),29,"dutch house, electro house, pop dance, pop edm, progressive electro house, russian edm, sky room",EDM,0.514,0.917,6,-3.292,1,0.0535,0.00743,0.0136,0.0938,0.408,125.116,205200,4
12MqM3S0fTvR6X4Jt1Xvn6,Until You Were Gone,The Chainsmokers,Until You Were Gone,54,pop,EDM,0.577,0.698,1,-4.773,1,0.0451,0.0541,0,0.131,0.324,128.061,215625,4
13yeSbqDD7JSd7EWMOATV1,Dragon - Radio Edit,Martin Garrix,Break Through The Silence EP,47,"dutch edm, edm, pop, pop dance, progressive house",EDM,0.513,0.917,7,-4.048,0,0.0628,0.00543,0.816,0.0592,0.145,128.024,196671,4
144VylfhBHydi2xvqy9yw6,Alibi (Far Out Remix),Krewella,Alibi & Runaway (Remixes),50,"edm, electra, electro house, pop dance",EDM,0.602,0.758,7,-5.261,0,0.068,0.134,0,0.0853,0.156,99.896,219554,4
14sOS5L36385FJ3OL8hew4,Happy Now,Kygo,Happy Now,70,"edm, pop, pop dance, tropical house",EDM,0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,211362,4
172BxPrgDzSgLzFK6jfGpz,Free To Go,Seeb,Free To Go,43,pop dance,EDM,0.488,0.853,0,-4.777,1,0.0666,0.122,0,0.132,0.198,107.983,217687,4
17Efhyf4A96n0EFXKeB7Ya,Crashing (feat. Bahari),ILLENIUM,ASCEND,57,"edm, melodic dubstep, pop dance",EDM,0.582,0.681,5,-6.138,1,0.0458,0.342,0,0.186,0.273,95.995,230000,4
17vXZTcVsCJF1NBoaBQjm7,Barcelona Nights,Vicetone,Barcelona Nights,57,"edm, electro house, pop dance, progressive electro house",EDM,0.535,0.764,5,-3.496,0,0.0423,0.265,1.95E-06,0.159,0.563,104.589,180000,4
18KjYhghq6K3ZmfcewWDp6,Mistaken (feat. Alex Aris),Martin Garrix,Mistaken (feat. Alex Aris),52,"dutch edm, edm, pop, pop dance, progressive house",EDM,0.424,0.694,6,-4.912,0,0.0386,0.0573,0.000937,0.133,0.0801,128.034,282481,4
18ZEHg22DWt9cB6g7ejjtT,Underneath,Jac & Harri,Underneath,24,"pop edm, sky room",EDM,0.532,0.895,11,-4.543,0,0.0386,0.0175,0.000339,0.107,0.433,126.036,221429,4
1AhgsRpPaoqejpJi97I7f1,Hold On Tight,R3HAB,Hold On Tight,0,"dutch house, edm, electro house, pop dance, progressive electro house, slap house",EDM,0.326,0.647,0,-7.131,1,0.0455,0.454,0,0.179,0.524,88.523,189943,4
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,No Sleep (feat. Bonn),63,"dutch edm, edm, pop, pop dance, progressive house",EDM,0.44,0.635,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,207095,4
1Ai5UrDsntCo4nB1xEq9HW,Getaway,Syn Cole,Getaway,46,"deep tropical house, edm, pop dance, pop edm, progressive electro house, tropical house",EDM,0.742,0.835,6,-3.501,1,0.0355,0.222,0,0.111,0.664,110.03,194182,4
1akwEUtTqaHgv1fAc8lstd,Not Alone,Sick Individuals,Not Alone,0,"big room, dutch house, edm, electro house, pop dance, progressive electro house",EDM,0.556,0.958,3,-3.3,0,0.0332,0.00388,0.00276,0.0975,0.241,126.072,165785,4
1b6loDESBsvHRSV85FjbYI,Finest Hour (feat. Abir),Cash Cash,Say It Like You Feel It,49,"dance pop, edm, electro house, electropowerpop, pop dance",EDM,0.657,0.729,5,-4.223,0,0.076,0.0789,0,0.133,0.438,95.974,215781,4
1bFQhFmmfURmAIzyp5nIRO,Globetrotter,Ludvigsson,Globetrotter,37,swedish tropical house,EDM,0.715,0.802,6,-5.002,1,0.0298,0.0816,0,0.108,0.379,113.986,166299,4
1bYuKo7Ph4qS5Klw9zzD74,Last Night Of Our Lives - Radio Edit,Manse,Last Night Of Our Lives,34,"big room, pop edm, progressive electro house, sky room",EDM,0.436,0.89,9,-3.205,1,0.049,0.027,0,0.163,0.214,126.855,181500,4
1Cwl11pAuDjkqPXydCRata,Give Me Love,Remady,Give Me Love,32,"pop house, slap house",EDM,0.6,0.868,10,-3.605,1,0.0298,0.0506,0,0.243,0.322,104.974,182000,4
1dFPRhe24gj4Fq5kZcSQI9,Between Our Hearts (feat. CXLOE),Cheat Codes,Between Our Hearts (feat. CXLOE),34,"edm, pop, pop dance",EDM,0.373,0.675,2,-6.22,0,0.0578,0.0129,0,0.227,0.394,102.536,221950,4
1eGW1YBT17a5G1hKPWrpW7,Lost Without You (with Dean Lewis),Kygo,Lost Without You (with Dean Lewis),62,"edm, pop, pop dance, tropical house",EDM,0.621,0.575,11,-6.243,1,0.0564,0.265,0,0.0932,0.343,117.887,203610,4
1ENQZlb9iVUnCoN2QtI77e,With All My Heart,ILLENIUM,With All My Heart,56,"edm, melodic dubstep, pop dance",EDM,0.565,0.697,9,-4.901,1,0.0316,0.321,0,0.0926,0.343,99.934,177600,4
1eyrmeiDpdTkOmA839nPVQ,Shed a Light,Robin Schulz,Uncovered,62,"deep euro house, deep house, edm, german dance, pop dance, tropical house",EDM,0.483,0.787,8,-5.244,1,0.102,0.112,0,0.257,0.58,122.058,191379,4
1eZXJrEbdGSuST1f8NY5Qk,Back To You,Nicky Romero,Back To You,29,"big room, dutch edm, dutch house, edm, electro house, pop dance, progressive electro house",EDM,0.652,0.708,9,-7.174,1,0.0347,0.00604,0,0.11,0.313,125.027,185812,4
1fEJnHJVQcMJPlFSJeBtjo,Outlaws,Manse,Outlaws,32,"big room, pop edm, progressive electro house, sky room",EDM,0.448,0.918,3,-3.278,1,0.0483,0.00172,1.09E-05,0.151,0.243,127.976,217500,4
1fOYPRfnzQUOoFpJVX3it3,Hope There's Someone,Avicii,TRUE,0,"dance pop, edm, pop, pop dance",EDM,0.403,0.718,6,-7.231,0,0.0449,0.0131,0.00447,0.0801,0.0817,125.017,381280,4
1gpFuNlgfcpvXtD2TQILsQ,Chapters,Nicky Romero,Chapters,35,"big room, dutch edm, dutch house, edm, electro house, pop dance, progressive electro house",EDM,0.484,0.807,11,-5.217,0,0.0805,0.194,0,0.652,0.346,128.066,213625,4
1HfPcQ3c2HyGeID3u1lmCa,She Wolf (Falling to Pieces) [feat. Sia],David Guetta,Nothing but the Beat 2.0,53,"big room, dance pop, edm, pop, pop dance",EDM,0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57E-06,0.344,0.395,129.971,222500,4
1Hk0QRlUFCHYG6zIvUh0Xd,Summer,Marshmello,Joytime,58,"brostep, edm, pop, progressive electro house",EDM,0.583,0.748,6,-4.798,1,0.0292,0.00695,0.0241,0.22,0.254,142.029,233239,4
1Ht4NJdY8adMsW540P5vG0,Come With Me - Radio Mix,Nora En Pure,Come With Me,63,"deep house, electra, house, melodic house, progressive house, swiss pop",EDM,0.677,0.758,6,-6.523,0,0.027,0.00307,0.736,0.22,0.308,119.999,173625,4
1HvCFAUIWQsWV9zud3UhDl,All Falls Down (feat. Juliander),Alan Walker,Different World,69,electro house,EDM,0.655,0.672,1,-4.966,1,0.0581,0.253,0,0.312,0.675,98.005,198880,4
1IiH5OGVjBAMjskNdXJDwS,Electric Touch - Midnight Kids Remix,A R I Z O N A,Electric Touch,43,"electropop, indie poptimism",EDM,0.543,0.719,0,-5.88,1,0.0378,0.285,0,0.225,0.276,102.007,225882,4
1JdScfytE2eaLeVJ7a7KUQ,High Tide,Shallou,High Tide,46,"electropop, indie electropop, vapor soul",EDM,0.563,0.611,7,-8.436,0,0.0292,0.0239,0.469,0.117,0.105,118.941,197151,4
1jfW9Ro29uuPlAUfnOqTVw,Here We Go Again,Sigma,Here We Go Again,41,"dancefloor dnb, pop dance, uk dance",EDM,0.535,0.842,4,-3.094,1,0.0846,0.132,0,0.148,0.598,152.807,162585,4
1jvT3CCQpyysWB1JcqZwSi,Just One Last Time (feat. Taped Rai),David Guetta,Nothing but the Beat 2.0,38,"big room, dance pop, edm, pop, pop dance",EDM,0.532,0.812,8,-2.507,1,0.0547,0.021,0,0.124,0.207,128.063,227107,4
1KtD0xaLAikgIt5tPbteZQ,Thinking About You (feat. Ayah Marar),Calvin Harris,18 Months,70,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",EDM,0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,247933,4
1l3vdeI7PWLBPcc3KHXJQU,A Bit Of Your Love,WildVibes,A Bit Of Your Love,0,"pop edm, sky room",EDM,0.569,0.761,0,-4.451,1,0.0365,0.148,0.000187,0.736,0.504,126.981,217559,4
1LP1W66MDAeTjX3Fz4D9A1,Brothers In Arms,Suyano,Brothers In Arms,0,"progressive electro house, sky room",EDM,0.597,0.714,11,-7.676,1,0.0675,0.0762,0,0.278,0.232,128.023,185625,4
1lWoanAmIk1PZisbP5LmwT,How to Love (feat. Sofia Reyes),Cash Cash,"Blood, Sweat & 3 Years",47,"dance pop, edm, electro house, electropowerpop, pop dance",EDM,0.673,0.894,0,-2.73,1,0.0594,0.148,3.40E-06,0.141,0.63,118.894,219240,4
1M54nLzTxoQFjC0g8H11Bk,Would You Lie,Seeb,Would You Lie,53,pop dance,EDM,0.575,0.867,10,-5.16,1,0.0481,0.155,0,0.325,0.405,104.072,214648,4
1m6yLnZ56bgZegsSnCDzah,Talk You Down - Fells Remix,Charlotte Lawrence,Talk You Down,32,alt z,EDM,0.43,0.778,1,-3.943,1,0.0342,0.00749,0,0.0533,0.404,95.137,202270,4
1MhdaEmBlc71o9ID1eP9Io,Survive (with Luma),Blanke,Survive (with Luma),34,"dubstep, melodic dubstep, pop edm",EDM,0.442,0.572,10,-5.509,0,0.0362,0.293,3.69E-06,0.0978,0.108,85.963,227442,4
1MIlGM2pyNUxzjTG2RgK0C,Hurricane (feat. HON & SMBDY),BUNT.,Hurricane (feat. HON & SMBDY),41,stutter house,EDM,0.459,0.627,11,-6.59,0,0.0322,0.00638,3.36E-06,0.118,0.297,109.928,232264,4
1MtUq6Wp1eQ8PC6BbPCj8P,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"At Night, Alone.",69,"dance pop, pop, pop dance, pop rap",EDM,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42E-06,0.0843,0.71,101.969,197933,4
1MVHp4OB3ZFtJp6QiLUUOB,Age Of Innocence,Elephante,Age Of Innocence,39,"future bass, pop dance, pop edm",EDM,0.45,0.866,6,-3.29,0,0.0406,0.00917,0,0.61,0.336,127.976,210000,4
1O73ZKgl0THUImkHW6dfAL,Never Really Loved Me (with Dean Lewis),Kygo,Never Really Loved Me (with Dean Lewis),61,"edm, pop, pop dance, tropical house",EDM,0.614,0.642,1,-5.473,1,0.0449,0.289,0,0.13,0.218,117.94,202158,4
